zip_listings_total,k,m,zip,capture_timestamp,url,address,status,list_price,beds,baths,sqft,lot_sqft,property_type,year_built,days_on_zillow,hoa_fee,notes
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/13937-Ember-Ct-Apple-Valley-MN-55124/402454592_zpid/,13937 Ember Ct. Apple valley,For Sale,999900.0,5,4,,18295.0,Single Family Residence,2026,48.0,,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/14217-Footbridge-Way-Apple-Valley-MN-55124/1587905_zpid/,"14217 Footbridge Way, Apple Valley",For Sale,715000.0,4,4,,13504.0,Single Family Residence,1999,22.0,12.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/15579-Duck-Trail-Ln-Apple-Valley-MN-55124/64987253_zpid/,15579 Duck Trail Ln,For Sale,700000.0,4,4,,6098.4,Single Family Residence,2007,6.0,302.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/12439-Drayton-Trl-Apple-Valley-MN-55124/443087072_zpid/,"12439 Drayton Trl, Apple Calley",For Sale,594000.0,3,3,,6098.0,Single Family Residence,2025,278.0,333.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/13850-Pennock-Ave-Apple-Valley-MN-55124/1598145_zpid/,13850 Pennock Ave. Apple Valley,Coming Soon,550000.0,4,3,,20038.0,Single Family Residence,1994,3.0,,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/13761-Hollybrook-Cir-Apple-Valley-MN-55124/459860041_zpid/,15653 Eddy Creek Way,For Sale,499000.0,3,3,,8015.04,Single Family Residence,2017,27.0,120.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/community/eagle-pointe-townhomes/448617883_zpid/,"The Magnolia Plan, Eagle Pointe Townhomes",New Construction,489990.0,3,3,,,Townhouse Side x Side,2026,354.0,354.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/13590-Hollybrook-Dr-Apple-Valley-MN-55124/459847995_zpid/,"13590 Hollybrook Dr., Apple Valley",New Construction,465135.0,4,3,,2345.0,Townhouse Side x Side,2024,18.0,387.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/13751-Hollybrook-Cir-Apple-Valley-MN-55124/455625394_zpid/,13751 Hollybrook Cir,For Sale,459990.0,3,3,,2144.0,Townhouse Side x Side,2025,186.0,387.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/community/eagle-pointe-townhomes/456724147_zpid/,"The Amelia Plan, Eagle Point Townhomes",New Construction,449990.0,4,3,,,Townhouse Side x Side,2026,,354.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/15740-Harmony-Way-Apple-Valley-MN-55124/1593291_zpid/,15740 Harmony Way Apple Valley MN,For Sale,425000.0,4,3,,15682.0,Single Family Residence,1979,27.0,,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/12595-Driftwood-Ct-Apple-Valley-MN-55124/1592441_zpid/,12595 Driftwood Ct,For Sale,419000.0,2,4,,,Single Family Residence,1992,91.0,,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/14355-Embry-Path-Apple-Valley-MN-55124/1595704_zpid/,14355 Embry Path Apple Valley MN,Not Currently Listed,374500.0,3,3,,8276.0,Single Family Residence,1984,8.0,,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/5980-131st-St-W-Apple-Valley-MN-55124/1591236_zpid/,5980 131st St W,For Sale,370000.0,2,4,,,Single Family Residence,1977,3.0,,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/15664-Flackwood-Way-Apple-Valley-MN-55124/1596359_zpid/,15664 Flackwood Way,For Sale,339900.0,2,2,,3223.44,Townhouse Side x Side,2000,4.0,349.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/14387-Embassy-Way-Apple-Valley-MN-55124/1589689_zpid/,14387 Embassy Way Apple Valley MN,For Sale,330000.0,3,3,,2570.0,Townhouse Side x Side,1992,90.0,365.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/12800-Eastview-Curv-Apple-Valley-MN-55124/1596039_zpid/,12800 Eastview Curv,For Sale,295000.0,2,3,,3360.0,Townhouse Side x Side,1989,14.0,375.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/6869-Folkestone-Rd-614-Saint-Paul-MN-55124/456866905_zpid/,"6869 Folkestone Rd, St. Paul",For Rent,290000.0,2,3,,,Townhouse Side x Side,2002,85.0,389.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/15359-Foliage-Ave-Apple-Valley-MN-55124/63033690_zpid/,"15359 Foliage Ave, Apple Valley",Auction/Foreclosure,288700.0,3,3,,,Condominium,2005,110.0,,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/15687-Finewood-Ct-Apple-Valley-MN-55124/1596319_zpid/,15687 Finewood Ct,For Sale,279900.0,2,3,,8537.76,Townhouse Side x Side,1998,78.0,405.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/13573-Everton-Ave-Apple-Valley-MN-55124/1591853_zpid/,13573 Everton Ave,For Sale,269900.0,2,3,,2221.56,Townhouse Side x Side,1976,29.0,355.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/15522-Garnet-Way-102-Saint-Paul-MN-55124/2074993572_zpid/,15522 Garnet Way #102,For Sale,250000.0,2,2,,,Townhouse Side x Side,1994,11.0,350.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/14720-Excelsior-Ln-28-Saint-Paul-MN-55124/2074999770_zpid/,14720 Excelsior Ln #28,For Sale,249995.0,2,3,,,Townhouse Side x Side,1995,62.0,325.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/14391-Hickory-Way-Apple-Valley-MN-55124/1590219_zpid/,14391 Hickory Way,For Sale,229900.0,2,2,,1045.44,Townhouse Side x Side,1993,22.0,300.0,
73,2,2,55124,2026-02-04,https://www.zillow.com/homedetails/14620-Garrett-Ave-APT-310-Apple-Valley-MN-55124/1598697_zpid/,14620 Garrett Ave APT 310,For Sale,199000.0,2,3,,,Low Rise,1980,163.0,603.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/homedetails/17787-Ellsworth-Dr-Farmington-MN-55024/456455270_zpid/,"17787 Ellsworth Dr, Farmington, MN",Active,854900.0,3,3,3331.0,2613.6,Townhouse Detached,2025,89.0,200.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/homedetails/19240-Everglade-Path-Farmington-MN-55024/459404618_zpid/,"19240 Everglade Path, Famrington, MN",Active,639990.0,5,4,3712.0,7840.8,Single Family Residence,2026,37.0,13.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/homedetails/2665-213th-St-W-Farmington-MN-55024/457970928_zpid/,"2665 213th St W, Farmington, MN",Active,599900.0,5,4,3088.0,7840.8,Single Family Residence,2026,91.0,0.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/homedetails/19440-Everglade-Path-Farmington-MN-55024/456704157_zpid/,"19440 Everglade Path, Farmington",Active,549990.0,3,3,2560.0,10890.0,Single Family Residence,2025,142.0,13.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/homedetails/5259-217th-St-W-Farmington-MN-55024/438019876_zpid/,"5259 217th St W, Farmington, MN",Active,525000.0,3,3,1820.0,5376.0,Single Family Residence,2025,128.0,269.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/homedetails/6646-208th-St-W-Farmington-MN-55024/459728218_zpid/,"6646 208th St W, Farmington",Active,500000.0,5,3,2449.0,6969.6,Single Family Residence,2025,23.0,0.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/community/whispering-fields/350438178_zpid/,"The Elm, Whispering Fields, Farmington, MN",New Construction,487990.0,5,3,2449.0,,Single Family Residence,2026,,0.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/homedetails/Xxx5-217th-St-Farmington-MN-55024/2061233044_zpid/,"Xxx5 217th St, Farmington, MN 55024",Active,480000.0,3,3,1855.0,5376.0,Single Family Residence,2023,15.0,269.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/homedetails/19714-Executive-Path-Farmington-MN-55024/52619895_zpid/,"19714 Executive Path, Farmington, MN 55024",Active,469900.0,4,2,2610.0,12196.8,Single Family Residence,2000,99.0,7.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/community/whispering-fields/350438183_zpid/,"The Eldorado, Whispering Fields, Farmington, MN 55024",New Construction,445990.0,4,3,2103.0,,Single Family Residence,2026,,0.0,
140,4,2,55024,2026-02-04,https://www.zillow.com/homedetails/Xxx2-216th-St-Farmington-MN-55024/2060210146_zpid/,"Xxx2 216th St, Farmington, MN",Active,435000.0,2,2,1371.0,,Townhouse Side x Side,2022,13.0,299.0,
